"","task","trialsLeft","practice","trialNum","word1","patch","colorRT","colorResponse","isicolorRT","congruent","colorAccurate","word2","sameResponse","sameRT","isisameRT","same","sameAccurate","word","ink","subid"
"4569","wm",40,FALSE,32,"yellow","yellow",371,"yellow",0,TRUE,TRUE,"yellow","same",706,0,TRUE,TRUE,NA,NA,32
"4570","wm",39,FALSE,33,"green","red",0,"blue",92,FALSE,FALSE,"green","diff",1321,0,TRUE,FALSE,NA,NA,32
"4571","wm",38,FALSE,34,"red","green",0,"yellow",145,FALSE,FALSE,"red","diff",803,0,TRUE,FALSE,NA,NA,32
"4572","wm",37,FALSE,35,"yellow","green",0,"green",104,FALSE,FALSE,"green","same",713,0,FALSE,FALSE,NA,NA,32
"4573","wm",36,FALSE,36,"blue","green",0,NA,258,FALSE,FALSE,"green","diff",2039,0,FALSE,TRUE,NA,NA,32
"4574","wm",35,FALSE,37,"red","blue",0,"blue",30,FALSE,FALSE,"red","NA",0,0,TRUE,FALSE,NA,NA,32
"4575","wm",34,FALSE,38,"green","green",452,"green",0,TRUE,TRUE,"blue","diff",1309,0,FALSE,TRUE,NA,NA,32
"4576","wm",33,FALSE,39,"red","yellow",0,"yellow",59,FALSE,FALSE,"yellow","diff",2080,0,FALSE,TRUE,NA,NA,32
"4577","wm",32,FALSE,40,"blue","blue",384,"red",0,TRUE,FALSE,"blue","same",1583,0,TRUE,TRUE,NA,NA,32
"4578","wm",31,FALSE,41,"yellow","red",0,"blue",115,FALSE,FALSE,"yellow","diff",1604,0,TRUE,FALSE,NA,NA,32
"4579","wm",30,FALSE,42,"yellow","yellow",316,"yellow",0,TRUE,TRUE,"red","same",1438,0,FALSE,FALSE,NA,NA,32
"4580","wm",29,FALSE,43,"yellow","yellow",385,"yellow",0,TRUE,TRUE,"yellow","same",1103,0,TRUE,TRUE,NA,NA,32
"4581","wm",28,FALSE,44,"green","yellow",453,"green",0,FALSE,FALSE,"yellow","diff",2017,0,FALSE,TRUE,NA,NA,32
"4582","wm",27,FALSE,45,"yellow","green",0,"green",156,FALSE,FALSE,"green","same",0,438,FALSE,FALSE,NA,NA,32
"4583","wm",26,FALSE,46,"green","blue",0,"blue",557,FALSE,FALSE,"green","diff",1950,0,TRUE,FALSE,NA,NA,32
"4584","wm",25,FALSE,47,"yellow","red",0,"blue",142,FALSE,FALSE,"yellow","diff",1461,0,TRUE,FALSE,NA,NA,32
"4585","wm",24,FALSE,48,"yellow","yellow",473,"yellow",0,TRUE,TRUE,"red","same",1762,0,FALSE,FALSE,NA,NA,32
"4586","wm",23,FALSE,49,"red","red",415,"red",0,TRUE,TRUE,"green","diff",1646,0,FALSE,TRUE,NA,NA,32
"4587","wm",22,FALSE,50,"red","red",499,"red",0,TRUE,TRUE,"green","diff",1528,0,FALSE,TRUE,NA,NA,32
"4588","wm",21,FALSE,51,"blue","yellow",0,"yellow",19,FALSE,FALSE,"yellow","same",1759,0,FALSE,FALSE,NA,NA,32
"4589","wm",20,FALSE,52,"green","green",437,"green",0,TRUE,TRUE,"red","diff",2371,0,FALSE,TRUE,NA,NA,32
"4590","wm",19,FALSE,53,"green","green",492,"green",0,TRUE,TRUE,"blue","diff",1909,0,FALSE,TRUE,NA,NA,32
"4591","wm",18,FALSE,54,"yellow","yellow",0,"yellow",39,TRUE,FALSE,"yellow","same",0,335,TRUE,FALSE,NA,NA,32
"4592","wm",17,FALSE,55,"blue","yellow",0,"yellow",867,FALSE,FALSE,"yellow","same",2226,0,FALSE,FALSE,NA,NA,32
"4593","wm",16,FALSE,56,"red","blue",0,"blue",531,FALSE,FALSE,"red","diff",1815,0,TRUE,FALSE,NA,NA,32
"4594","wm",15,FALSE,57,"red","red",0,"blue",265,TRUE,FALSE,"red","same",1720,0,TRUE,TRUE,NA,NA,32
"4595","wm",14,FALSE,58,"blue","red",0,"red",273,FALSE,FALSE,"blue",NA,907,0,TRUE,NA,NA,NA,32
"4596","wm",13,FALSE,59,"red","red",0,"blue",37,TRUE,FALSE,"green","diff",1902,0,FALSE,TRUE,NA,NA,32
"4597","wm",12,FALSE,60,"blue","blue",362,"blue",0,TRUE,TRUE,"blue","same",1461,0,TRUE,TRUE,NA,NA,32
"4598","wm",11,FALSE,61,"yellow","yellow",379,"yellow",0,TRUE,TRUE,"yellow","same",1130,0,TRUE,TRUE,NA,NA,32
"4599","wm",10,FALSE,62,"green","green",464,"green",0,TRUE,TRUE,"green","same",1237,0,TRUE,TRUE,NA,NA,32
"4600","wm",9,FALSE,63,"yellow","blue",0,"red",329,FALSE,FALSE,"blue","same",1484,0,FALSE,FALSE,NA,NA,32
"4601","wm",8,FALSE,64,"blue","blue",479,"blue",0,TRUE,TRUE,"blue","same",1433,0,TRUE,TRUE,NA,NA,32
"4602","wm",7,FALSE,65,"red","blue",0,"blue",76,FALSE,FALSE,"red","same",2031,0,TRUE,TRUE,NA,NA,32
"4603","wm",6,FALSE,66,"yellow","blue",0,"blue",125,FALSE,FALSE,"blue","same",1276,0,FALSE,FALSE,NA,NA,32
"4604","wm",5,FALSE,67,"red","yellow",0,"yellow",96,FALSE,FALSE,"yellow","same",1132,0,FALSE,FALSE,NA,NA,32
"4605","wm",4,FALSE,68,"yellow","yellow",433,"yellow",0,TRUE,TRUE,"yellow","same",839,0,TRUE,TRUE,NA,NA,32
"4606","wm",3,FALSE,69,"red","red",390,"red",0,TRUE,TRUE,"blue","diff",1256,0,FALSE,TRUE,NA,NA,32
"4607","wm",2,FALSE,70,"blue","blue",400,"blue",0,TRUE,TRUE,"red","diff",1674,0,FALSE,TRUE,NA,NA,32
"4608","wm",1,FALSE,71,"green","green",408,"green",0,TRUE,TRUE,"green","same",857,0,TRUE,TRUE,NA,NA,32
"4609","classic",12,TRUE,0,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","green",33
"4610","classic",11,TRUE,1,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","blue",33
"4611","classic",10,TRUE,2,NA,NA,316,"green",0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4612","classic",9,TRUE,3,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","yellow",33
"4613","classic",8,TRUE,4,NA,NA,456,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","red",33
"4614","classic",7,TRUE,5,NA,NA,0,"NA",0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"red","red",33
"4615","classic",6,TRUE,6,NA,NA,488,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","red",33
"4616","classic",5,TRUE,7,NA,NA,264,"green",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","blue",33
"4617","classic",4,TRUE,8,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","green",33
"4618","classic",3,TRUE,9,NA,NA,0,"NA",0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"green","green",33
"4619","classic",2,TRUE,10,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","yellow",33
"4620","classic",1,TRUE,11,NA,NA,348,"red",0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4621","classic",48,FALSE,0,NA,NA,389,"yellow",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4622","classic",47,FALSE,1,NA,NA,464,"yellow",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4623","classic",46,FALSE,2,NA,NA,360,"yellow",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4624","classic",45,FALSE,3,NA,NA,0,"red",28,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"red","red",33
"4625","classic",44,FALSE,4,NA,NA,0,"yellow",41,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4626","classic",43,FALSE,5,NA,NA,0,"yellow",84,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","red",33
"4627","classic",42,FALSE,6,NA,NA,0,"blue",149,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"green","green",33
"4628","classic",41,FALSE,7,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","red",33
"4629","classic",40,FALSE,8,NA,NA,0,"yellow",169,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","blue",33
"4630","classic",39,FALSE,9,NA,NA,0,"NA",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","blue",33
"4631","classic",38,FALSE,10,NA,NA,295,"green",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","yellow",33
"4632","classic",37,FALSE,11,NA,NA,284,"blue",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4633","classic",36,FALSE,12,NA,NA,422,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","green",33
"4634","classic",35,FALSE,13,NA,NA,0,"green",94,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"green","green",33
